file,answer,human difficulty ,machine difficulty
Screenshot 2025-11-20 at 9.38.43 PM.png,split decision ,,
Screenshot 2025-11-20 at 9.44.12 PM.png,turning over a new leaf,,
Screenshot 2025-11-20 at 9.45.35 PM.png,what goes up must come down ,,
Screenshot 2025-11-20 at 9.46.36 PM.png,are you in trouble ,,
Screenshot 2025-11-20 at 9.47.57 PM.png,down hill,,
Screenshot 2025-11-20 at 9.48.57 PM.png,forgive and forget,,
Screenshot 2025-11-20 at 9.50.31 PM.png,happy hour ,,
Screenshot 2025-11-20 at 10.01.38 PM.png,time is on our side,,
Screenshot 2025-11-20 at 10.05.31 PM.png,seeing double,,
Screenshot 2025-11-20 at 10.07.31 PM.png,see in the dark,,
Screenshot 2025-11-20 at 10.08.47 PM.png,secret admirer ,,
Screenshot 2025-11-20 at 10.10.34 PM.png,scrambled eggs,,
Screenshot 2025-11-20 at 10.12.18 PM.png,runny nose,,
Screenshot 2025-11-20 at 10.13.29 PM.png,rocking chair,,
Screenshot 2025-11-20 at 10.19.35 PM.png,broken leg,,
Screenshot 2025-11-20 at 10.38.02 PM.png,broken heart,,
Screenshot 2025-11-20 at 10.39.00 PM.png,cross roads,,
Screenshot 2025-11-20 at 10.39.41 PM.png,time after time,,
Screenshot 2025-11-20 at 10.40.44 PM.png,down town,,
Screenshot 2025-11-20 at 10.41.30 PM.png,growing pains,,
Screenshot 2025-11-20 at 10.42.24 PM.png,highlights,,
Screenshot 2025-11-20 at 10.43.27 PM.png,I understand,,
Screenshot 2025-11-20 at 10.45.10 PM.png,ice cube,,
Screenshot 2025-11-20 at 10.46.01 PM.png,life after death ,,
Screenshot 2025-11-20 at 10.46.52 PM.png,man overboard,,
Screenshot 2025-11-20 at 10.47.44 PM.png,no one to blame,,
Screenshot 2025-11-20 at 10.49.04 PM.png,right under your nose,4,3
Screenshot 2025-11-20 at 10.51.54 PM.png,settle down ,,
Screenshot 2025-11-20 at 10.52.52 PM.png,the price is right,,
Screenshot 2025-11-20 at 10.53.51 PM.png,tuna fish,4,5
Screenshot 2025-11-20 at 10.55.50 PM.png,unfinished business,4,4
Screenshot 2025-11-20 at 11.06.09 PM.png,"take five, high five",1,2
Screenshot 2025-11-20 at 11.08.00 PM.png,little by little,1,2
Screenshot 2025-11-20 at 11.16.02 PM.png,"white lie, little white lie",1,1
Screenshot 2025-11-20 at 11.18.01 PM.png,long time no see,5,5
Screenshot 2025-11-20 at 11.24.52 PM.png,,,
Screenshot 2025-11-20 at 11.28.47 PM.png,times up,1,
Screenshot 2025-11-20 at 11.30.10 PM.png,misunderstood,1,
Screenshot 2025-11-20 at 11.31.50 PM.png,tenis shoes,4,
Screenshot 2025-11-20 at 11.32.52 PM.png,space invadors,2,
Screenshot 2025-11-20 at 11.34.07 PM.png,breakfast ,3,
Screenshot 2025-11-20 at 11.35.31 PM.png,readdy for action ,4,
Screenshot 2025-11-20 at 11.36.48 PM.png,big shot,1,
Screenshot 2025-11-20 at 11.41.24 PM.png,short circuit,5,
Screenshot 2025-11-20 at 11.44.15 PM.png,set in stone,6,
Screenshot 2025-11-20 at 11.48.41 PM.png,good looking ,2,
Screenshot 2025-11-20 at 11.50.16 PM.png,just between me and you,2,
Screenshot 2025-11-20 at 11.51.49 PM.png,light in the end of the tunnel,4,
Screenshot 2025-11-20 at 11.54.14 PM.png,love is in the air,2,
Screenshot 2025-11-20 at 11.55.52 PM.png,mayonnaise,4,
Screenshot 2025-11-20 at 11.57.22 PM.png,middle man,2,
Screenshot 2025-11-20 at 11.58.40 PM.png,mother in law,4,
Screenshot 2025-11-21 at 2.38.43 PM.png,calm down ,1,
Screenshot 2025-11-21 at 2.40.05 PM.png,see eye to eye ,2,
Screenshot 2025-11-21 at 2.42.06 PM.png,blood is thicker than water,3,
Screenshot 2025-11-21 at 2.43.20 PM.png,nowhere to run ,1,
Screenshot 2025-11-21 at 2.44.23 PM.png,short notice,1,
Screenshot 2025-11-21 at 2.45.11 PM.png,play of words,2,
Screenshot 2025-11-21 at 2.47.37 PM.png,the missing link,4,